latitude,longitude
-54.9333,-67.6167
-54.8019,-68.3031
-54.5062,-67.1905
-54.2833,-36.5
-54.2806,-36.508
-53.7833,-67.7
-53.1667,-70.9333
-51.7333,-72.5167
-51.7,-57.85
-51.65,-72.3
-51.6233,-69.2161
-51.5333,-72.3
-50.3378,-72.26
-49.983,-68.91
-49.3,-67.7167
-48.7667,-70.25
-48.4683,-72.56
-47.75,-65.9167
-47.2547,-72.575
-46.9,168.1333
-46.795,-67.955
-46.5886,-70.9242
-46.55,-68.95
-46.4333,-67.5333
-46.4131,168.3475
-46.1833,168.6833
-45.9333,-67.5333
-45.875,170.3486
-45.8742,170.5036
-45.8647,-67.4808
-45.6869,-70.26
-45.6,-69.0833
-45.5667,-72.0667
-45.4167,167.7167
-45.4,-72.6833
-45.0167,-70.8167
-44.8667,168.8333
-44.7,169.15
-44.3931,171.2508
-44.0333,171.7667
-43.9514,-176.5611
-43.5833,172.3833
-43.531,172.6365
-43.386,172.703
-43.3,-65.1
-43.25,-65.3
-43.0992,-73.5961
-42.9769,147.3083
-42.9,-71.3167
-42.8806,147.325
-42.7667,-65.05
-42.7156,170.9681
-42.6219,-73.7742
-42.4667,-73.8
-42.45,171.2075
-42.4,173.68
-42.3833,-66.95
-42.3,147.3706
-42.2667,-69.2167
-42.1,-72.4167
-42.0806,145.5556
-42.05,-71.1667
-41.9667,-71.5333
-41.8667,-73.8333
-41.8667,148.2833
-41.7667,-73.1333
-41.7581,171.6022
-41.6167,-73.6
-41.514,173.96
-41.4667,-72.9333
-41.4419,147.145
-41.4,-73.4833
-41.4,-72.9333
-41.3333,173.1833
-41.3167,-72.9833
-41.3,-69.5833
-41.2889,174.7772
-41.2708,173.2839
-41.2581,-73.0086
-41.2167,174.9167
-41.18,146.3503
-41.1667,147.5167
-41.15,-71.3
-41.1333,174.85
-41.1333,175.05
-41.1228,-73.0581
-41.0872,-73.0956
-41.0636,145.8753
-41.0333,-70.2667
-40.97,175.65
-40.9667,-72.9
-40.9167,-73.1667
-40.9144,175.0056
-40.8938,174.9794
-40.875,175.0639
-40.8417,145.125
-40.8,-63.0
-40.7833,-73.2
-40.7833,-62.9667
-40.7625,-71.6463
-40.7333,-64.95
-40.6833,-72.6
-40.6219,175.2867
-40.5833,-67.8
-40.5725,-73.1353
-40.5167,-73.4
-40.4,-73.0167
-40.355,175.6117
-40.3167,-72.9667
-40.3167,-72.5
-40.2833,-73.0833
-40.2167,175.5667
-40.1667,-71.35
-40.1333,-72.4
-40.1,-64.4167
-40.0667,-72.8833
-39.9325,175.0519
-39.9167,-71.0667
-39.8829,-62.5833
-39.85,-72.8333
-39.8139,-73.2458
-39.6667,176.8833
-39.6444,-72.3306
-39.5933,174.2783
-39.5,-62.6833
-39.4903,176.9178
-39.45,-72.7833
-39.3667,-72.6333
-39.3333,174.2833
-39.2767,-71.9744
-39.2667,-72.2167
-39.2667,-65.6833
-39.2166,-73.2123
-39.1786,-73.1656
-39.1,-72.6833
-39.1,-67.0667
-39.0578,174.0742
-39.0333,-67.5833
-38.9949,-73.0894
-38.9908,-64.0958
-38.9889,175.8083
-38.9833,-72.65
-38.9667,-67.8333
-38.9558,-72.6256
-38.9525,-68.0642
-38.95,-68.2333
-38.9338,-69.1987
-38.9333,-69.2333
-38.9333,-67.9833
-38.9167,-72.0333
-38.9,-70.0667
-38.88,-62.075
-38.8167,-68.0667
-38.8,-68.1333
-38.7667,-72.6
-38.7667,-62.2667
-38.7433,-72.95
-38.7333,-72.6667
-38.7167,-62.2667
-38.7089,-73.1647
-38.7,-61.2667
-38.6875,176.0694
-38.6625,178.0178
-38.65,-72.2333
-38.6056,145.5917
-38.6,-72.8333
-38.6,-70.3
-38.55,-58.7333
-38.5167,-72.45
-38.4333,-71.8833
-38.4333,-71.2333
-38.4,-72.7833
-38.3833,142.4833
-38.3667,-60.2667
-38.3414,-73.4911
-38.3403,143.5847
-38.3333,141.6
-38.3333,144.3167
-38.2667,-57.8333
-38.25,-72.6833
-38.25,144.5167
-38.2333,-72.3333
-38.2333,146.4
-38.226,145.177
-38.2167,175.8667
-38.1958,146.5403
-38.1892,144.4644
-38.189,145.092
-38.1722,146.2678
-38.15,-72.9167
-38.15,144.35
-38.15,145.9333
-38.1378,176.2514
-38.1333,-58.7667
-38.1333,145.1167
-38.1333,145.85
-38.1,-62.2167
-38.1,147.0667
-38.0996,145.2834
-38.0712,145.4878
-38.0333,-60.0833
-38.0319,-73.0728
-38.0167,144.4167
-38.0167,175.3167
-38.0078,-57.7097
-38.0,-57.55
-37.981,145.215
-37.96,176.98
-37.95,-72.4333
-37.8833,175.4667
-37.8667,-67.8333
-37.8456,-58.2578
-37.8333,147.6167
-37.8294,140.7828
-37.8142,144.9631
-37.8,-72.7167
-37.7994,-73.3953
-37.7833,-62.35
-37.7833,175.2833
-37.783,145.385
-37.7712,-67.7174
-37.7333,142.0167
-37.7167,-72.2333
-37.6996,-63.1666
-37.6833,144.5833
-37.6833,176.1667
-37.6706,-72.0214
-37.6667,-72.5833
-37.6667,-59.7833
-37.6272,-73.4619
-37.6167,-62.4167
-37.6,-73.6667
-37.597,145.033
-37.5833,-72.5333
-37.5811,144.7139
-37.5608,143.8475
-37.55,-62.7667
-37.5,-72.6667
-37.49,144.5889
-37.4764,-73.3444
-37.4667,-72.35
-37.4667,-61.9333
-37.4167,144.9833
-37.3833,-70.2667
-37.3833,-64.6
-37.3786,140.8362
-37.3167,-59.1333
-37.2833,-71.95
-37.2833,142.9167
-37.2667,-72.7
-37.25,-73.3167
-37.25,-56.9833
-37.249,174.73
-37.2,174.9
-37.1796,-62.7601
-37.166,-72.933
-37.1383,175.5375
-37.1333,-72.5333
-37.1333,-58.4667
-37.1194,-72.0189
-37.1,-56.85
-37.0833,-73.1667
-37.0675,-12.3105
-37.05,142.7667
-37.05,143.735
-37.0333,-72.4
-37.03,145.13
-37.0167,-73.2167
-37.0167,-57.1333
-37.0,174.885
-36.96,-72.93
-36.9167,-73.0167
-36.9,-60.3333
-36.8981,149.9011
-36.8667,-57.8667
-36.85,174.543
-36.8406,174.74
-36.8282,-73.0514
-36.8167,-72.6667
-36.8167,139.85
-36.8019,174.7494
-36.7833,-59.85
-36.7833,144.2333
-36.7667,-59.1
-36.75,144.2667
-36.7481,-73.0986
-36.7425,-72.2983
-36.7333,-72.9833
-36.7203,-56.6878
-36.7167,-73.1219
-36.7167,142.2
-36.7036,-71.8922
-36.6239,-72.1358
-36.6167,-72.95
-36.6167,-64.2833
-36.6,-72.1167
-36.6,-71.75
-36.6,-61.75
-36.5519,145.9817
-36.5033,-72.2122
-36.4878,-72.7028
-36.3833,145.4
-36.3583,146.3125
-36.3167,-57.6667
-36.3118,140.7702
-36.3,-71.9
-36.2859,-72.7107
-36.2833,-72.5333
-36.2833,-61.7167
-36.2667,-72.7167
-36.235,149.1258
-36.2167,-65.45
-36.15,-71.8333
-36.1333,144.75
-36.1214,146.8881
-36.0806,146.9158
-36.0333,-71.7667
-36.0333,-60.0167
-36.0139,-59.1
-35.9667,-72.35
-35.9667,-71.6833
-35.9667,-62.7
-35.9667,145.65
-35.85,-71.6
-35.8,-61.9
-35.7667,-58.5
-35.75,-71.5667
-35.725,174.3236
-35.7081,150.1744
